id,source_url,bathrooms,bedrooms,price,squarefeet,payment,down_percent
3653,https://www.redfin.com/WA/Seattle/7547-13th-Ave-NW-98117/home/496341,1.0,3,625000,2280,2793,6.4
2885,https://www.redfin.com/WA/Seattle/1217-NE-103rd-St-98125/home/110297,1.75,2,600000,1800,2674,6.67
3644,https://www.redfin.com/WA/Seattle/8448-17th-Ave-SW-98106/home/474879,1.5,4,650000,2400,2912,6.15
3937,https://www.redfin.com/WA/Seattle/9425-27th-Ave-NE-98115/home/317246,1.0,3,625000,2300,2793,6.4
3347,https://www.redfin.com/WA/Seattle/8833-16th-Ave-SW-98106/home/474431,1.75,5,599000,2200,2669,6.68
3425,https://www.redfin.com/WA/Seattle/6316-Delridge-Way-SW-98106/home/161463,2.25,4,599000,2220,2669,6.68
2857,https://www.redfin.com/WA/Seattle/7300-19th-Ave-SW-98106/home/161206,2.5,3,549950,1960,2435,7.27
3298,https://www.redfin.com/WA/Seattle/4603-15th-Ave-S-98108/home/169935,1.75,4,574990,1860,2554,6.96
3808,https://www.redfin.com/WA/Seattle/4507-48th-Ave-SW-98116/home/329672,1.75,3,640000,2400,2864,6.25
3861,https://www.redfin.com/WA/Seattle/945-N-104th-St-98133/home/98837,2.0,4,549000,1950,2430,7.29
3230,https://www.redfin.com/WA/Seattle/345-N-80th-St-98103/home/300422,1.0,2,550000,2060,2435,7.27
3209,https://www.redfin.com/WA/Seattle/6916-31st-Ave-SW-98126/unit-31/home/113109002,3.75,3,567000,1874,2516,7.05
3069,https://www.redfin.com/WA/Seattle/13330-20th-Ave-NE-98125/home/115685,2.75,4,698000,2370,3141,5.73
